Index,length_sum,length_mean,travel_time,count,max
9697,19453.49923,273.9929469,32.21851326,59,0.439180751
9698,85643.73464,308.0709879,36.5492424,120,0.374287397
9699,36214.10544,312.1905641,37.54525995,51,0.457801082
9700,18106.01838,312.1727306,37.46072767,51,0.457801082
9701,54842.53829,365.6169219,41.31648504,61,0.425873926
9702,27421.26914,365.6169219,41.31648504,61,0.425873926
9703,53429.00673,381.6357624,45.79629148,63,0.438870479
9704,34052.58506,405.3879173,48.64655008,40,0.46290525
9705,17026.29253,405.3879173,48.64655008,40,0.46290525
9706,33246.20721,639.3501386,76.72201663,49,0.367971922
9707,182281.2236,436.0794822,50.67019934,168,0.294571963
9708,121338.7537,298.8639253,35.10974954,180,0.391611619
9709,215310.5187,227.1208003,25.82638467,768,0.433872814
9710,188947.5198,273.0455488,31.0089012,302,0.374207617
9711,94473.75989,273.0455488,31.06530891,302,0.374207617
9712,29668.18633,329.6465148,39.31561077,40,0.451176688
9713,165049.7712,306.7839613,33.33929465,221,0.42861443
9714,48345.15494,287.7687794,31.88094084,74,0.319332446
9715,73883.45912,329.8368711,39.27342728,198,0.35851288
9716,28618.78515,596.2246906,55.02684045,24,0.3714577
9717,19373.97643,440.3176461,51.87455009,42,0.316023607
9718,93844.36676,434.4646609,47.0495446,93,0.298522775
9719,26516.00723,331.4500903,32.94207387,39,0.368395895
9720,31667.57549,316.6757549,37.36449348,94,0.394737975
9721,106734.1015,401.2560206,47.18325322,221,0.267958009
9722,46760.35715,432.9662699,51.95595239,50,0.319604506
9723,84431.20149,367.0921804,34.71631385,102,0.400368972
9724,114861.4248,254.1181964,30.33818229,381,0.451031891
9725,48989.88262,489.8988262,58.78785915,44,0.263352548
9726,49806.90548,711.5272211,60.3619491,32,0.454525686
9727,18153.68193,605.1227311,72.61472773,31,0.399635926
9728,20323.67067,534.8334386,64.18001263,37,0.420786029
9729,82154.89066,342.3120444,40.86073777,101,0.480933651
9730,80260.34614,355.134275,35.40467926,189,0.382172352
9731,40757.56731,323.4727565,38.81673078,56,0.339951523
9732,20378.78366,323.4727565,38.81673078,56,0.339951523
9733,87248.19747,464.0861567,50.34278049,88,0.442529404
9734,78353.30338,157.9703697,18.76670982,211,0.295347592
9735,113836.0636,449.9449153,50.16540472,203,0.430087952
9736,79269.68737,683.3593739,70.64999357,52,0.345292725
9737,73176.51965,189.0866141,22.17241401,310,0.320315359
9738,17671.06116,410.9549107,45.44495442,40,0.455328163
9739,32010.19464,470.7381564,55.14175165,32,0.400026256
9740,29826.58344,710.1567486,73.78048899,38,0.371188352
9741,79486.26149,509.5273173,55.66103676,74,0.344761792
9742,94108.45156,461.315939,55.35791268,84,0.214060653
9743,47054.22578,461.315939,55.35791268,84,0.214060653
9744,66329.69696,304.2646649,34.38094003,95,0.437137418
9745,77388.46464,342.4268347,39.9280521,97,0.324237641
9746,38694.23232,342.4268347,39.9280521,97,0.324237641
9747,41123.78433,456.930937,49.91001842,78,0.342792513
9748,95197.52826,386.9818222,46.43781866,104,0.298762168
9749,17987.03465,399.711881,41.43508342,43,0.332499163
9750,76178.5897,380.8929485,41.58882409,89,0.422702779
9751,82211.86848,578.9568203,63.81761397,65,0.357623093
9752,117580.7557,266.0198093,29.95242221,179,0.323419074
9753,47694.53462,496.818069,56.23459848,92,0.40483817
9754,183570.83,113.5958106,13.11049007,594,0.409449106
9755,21187.54991,784.7240707,83.01591505,29,0.412218026
9756,21246.74958,482.8806723,57.94568068,40,0.407143088
9757,59462.78212,606.7630829,68.82915717,46,0.343944999
9758,29731.39106,606.7630829,68.82915717,46,0.343944999
9759,50918.94704,628.6289758,70.68240531,66,0.436625629
9760,45782.32407,586.9528727,70.43434473,72,0.380596868
9761,73056.53752,358.120282,42.97443384,162,0.251340436
9762,151022.1577,370.1523474,42.80349663,161,0.424983418
9763,74510.10577,368.8619097,42.63265614,161,0.424983418
9764,116864.9796,362.9347192,38.36450796,134,0.423052923
9765,33069.04386,375.7845894,41.711436,78,0.376121371
9766,36528.2326,689.2119359,81.53718936,47,0.39587282
9767,34913.07623,379.4899591,45.53879509,44,0.435790348
9768,57848.86259,470.315956,56.43791472,105,0.386109519
9769,79060.37814,790.6037814,94.87245376,46,0.321877445
